(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51083;TERMINAL A COMPRESSAO EM COBREAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,1000000;16,84;1,68;
Serviço: ED-51083;TERMINAL A COMPRESSAO EM COBREELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,1000000;22,30;2,23;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51085;TERMINAL A COMPRESSAO EM COBREAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3000000;16,84;5,05;
Serviço: ED-51085;TERMINAL A COMPRESSAO EM COBREELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3000000;22,30;6,69;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51086;TERMINAL A COMPRESSAO EM COBREAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3000000;16,84;5,05;
Serviço: ED-51086;TERMINAL A COMPRESSAO EM COBREELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3000000;22,30;6,69;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51087;TERMINAL A COMPRESSAO EM COBREAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3000000;16,84;5,05;
Serviço: ED-51087;TERMINAL A COMPRESSAO EM COBREELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3000000;22,30;6,69;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51088;TERMINAL A COMPRESSAO EM COBREAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3000000;16,84;5,05;
Serviço: ED-51088;TERMINAL A COMPRESSAO EM COBREELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3000000;22,30;6,69;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51089;TERMINAL A COMPRESSAO EM COBREAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3000000;16,84;5,05;
Serviço: ED-51089;TERMINAL A COMPRESSAO EM COBREELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3000000;22,30;6,69;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51090;TERMINAL A COMPRESSAO EM COBREAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3000000;16,84;5,05;
Serviço: ED-51090;TERMINAL A COMPRESSAO EM COBREELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3000000;22,30;6,69;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51091;TERMINAL A COMPRESSAO EM COBREAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3000000;16,84;5,05;
Serviço: ED-51091;TERMINAL A COMPRESSAO EM COBREELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3000000;22,30;6,69;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48701;TERMINAL PARA ATERRAMENTO E CONEXÃOAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,0293333;16,84;0,49;
Serviço: ED-48701;TERMINAL PARA ATERRAMENTO E CONEXÃOELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,0293333;22,30;0,65;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48351;TESTEIRA EM GRANITO CINZA ANDORINHAAPLICAÇÃO DE REJUNTE CIMENTÍCIO COLORIDO INDUSTRIALIZADO PARA REVESTIMENTOS DE PAREDE/PISO COM JUNTAS DE ATÉ 3MM DE ESPESSURA ;ED-50718 ;m2    ;0,1000000;4,54;0,45;
Serviço: ED-48351;TESTEIRA EM GRANITO CINZA ANDORINHAPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2000000;22,09;4,41;
Serviço: ED-48351;TESTEIRA EM GRANITO CINZA ANDORINHASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,2000000;15,71;3,14;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48352;TESTEIRA EM MÁRMORE BRANCOAPLICAÇÃO DE REJUNTE CIMENTÍCIO COLORIDO INDUSTRIALIZADO PARA REVESTIMENTOS DE PAREDE/PISO COM JUNTAS DE ATÉ 3MM DE ESPESSURA ;ED-50718 ;m2    ;0,1000000;4,54;0,45;
Serviço: ED-48352;TESTEIRA EM MÁRMORE BRANCOPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2000000;22,09;4,41;
Serviço: ED-48352;TESTEIRA EM MÁRMORE BRANCOSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,2000000;15,71;3,14;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-21636;TESTEIRA PARA BANCADA EM GRANITO, CORTESTEIRA PARA BANCADA EM GRANITO, COR CINZA ANDORINHA, ESP. 2CM, ALTURA DE 10CM, INCLUSIVE POLIMENTO DE ESPESSURA E CORTE/ COLAGEM EM MEIA ESQUADRIA (FABRICAÇÃO) ;ED-21706 ;m     ;1,0000000;163,38;163,38;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-21634;TESTEIRA PARA BANCADA EM GRANITO, CORTESTEIRA PARA BANCADA EM GRANITO, COR CINZA ANDORINHA, ESP. 2CM, ALTURA DE 3CM, INCLUSIVE POLIMENTO DE ESPESSURA E CORTE/ COLAGEM EM MEIA ESQUADRIA (FABRICAÇÃO) ;ED-21700 ;m     ;1,0000000;148,82;148,82;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-21635;TESTEIRA PARA BANCADA EM GRANITO, CORTESTEIRA PARA BANCADA EM GRANITO, COR CINZA ANDORINHA, ESP. 2CM, ALTURA DE 5CM, INCLUSIVE POLIMENTO DE ESPESSURA E CORTE/ COLAGEM EM MEIA ESQUADRIA (FABRICAÇÃO) ;ED-21705 ;m     ;1,0000000;152,98;152,98;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50919;TF- (350 X 72 CM) TELA FIXA SOLDADA ENTREASSENTAMENTO DE JANELAS METÁLICAS BASCULANTE OU FIXA ;ED-50931 ;m2    ;2,5200000;80,68;203,31;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49533;TOMADA DUPLA - 2P + T - 20A COM PLACAAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,4000000;16,84;6,73;
Serviço: ED-49533;TOMADA DUPLA - 2P + T - 20A COM PLACAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,4000000;22,30;8,92;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49534;TOMADA DUPLA - 2P + T - 20A SEM PLACAAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,4000000;16,84;6,73;
Serviço: ED-49534;TOMADA DUPLA - 2P + T - 20A SEM PLACAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,4000000;22,30;8,92;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48381;TOMADA DUPLA PARA LÓGICA RJ45, 4"X2",AJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,4000000;16,84;6,73;
Serviço: ED-48381;TOMADA DUPLA PARA LÓGICA RJ45, 4"X2",ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,8000000;22,30;17,84;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48382;TOMADA DUPLA PARA LÓGICA RJ45, 4"X4",AJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,7000000;16,84;11,78;
Serviço: ED-48382;TOMADA DUPLA PARA LÓGICA RJ45, 4"X4",ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,7000000;22,30;15,61;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48383;TOMADA PARA LÓGICA COM CAIXA SISTEMAAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,7000000;16,84;11,78;
Serviço: ED-48383;TOMADA PARA LÓGICA COM CAIXA SISTEMAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,7000000;22,30;15,61;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49537;TOMADA PARA PINO JACK 1/4, SOM E TV COMAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3500000;16,84;5,89;
Serviço: ED-49537;TOMADA PARA PINO JACK 1/4, SOM E TV COMELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3500000;22,30;7,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49538;TOMADA PARA TELEFONE, PADRÃOAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3700000;16,84;6,23;
Serviço: ED-49538;TOMADA PARA TELEFONE, PADRÃOELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3700000;22,30;8,25;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48379;TOMADA PARA TELEFONE RJ 11 SEM PLACAAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,4000000;16,84;6,73;
Serviço: ED-48379;TOMADA PARA TELEFONE RJ 11 SEM PLACAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,4000000;22,30;8,92;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49529;TOMADA SIMPLES - 2P + T - 10A COM PLACAAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3500000;16,84;5,89;
Serviço: ED-49529;TOMADA SIMPLES - 2P + T - 10A COM PLACAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3500000;22,30;7,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49530;TOMADA SIMPLES - 2P + T - 10A SEM PLACAAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3500000;16,84;5,89;
Serviço: ED-49530;TOMADA SIMPLES - 2P + T - 10A SEM PLACAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3500000;22,30;7,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49531;TOMADA SIMPLES - 2P + T - 20A COM PLACAAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3500000;16,84;5,89;
Serviço: ED-49531;TOMADA SIMPLES - 2P + T - 20A COM PLACAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3500000;22,30;7,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49532;TOMADA SIMPLES - 2P + T - 20A SEM PLACAAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,3500000;16,84;5,89;
Serviço: ED-49532;TOMADA SIMPLES - 2P + T - 20A SEM PLACAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,3500000;22,30;7,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50302;TORNEIRA CHAVE BOIA AUTOMÁTICA PARAAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;1,0000000;16,32;16,32;
Serviço: ED-50302;TORNEIRA CHAVE BOIA AUTOMÁTICA PARAELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;1,0000000;22,30;22,30;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50305;TORNEIRA DE BOIA, TIPO ROSCÁVEL 1",AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1145833;16,32;1,86;
Serviço: ED-50305;TORNEIRA DE BOIA, TIPO ROSCÁVEL 1",BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2291667;21,60;4,95;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50307;TORNEIRA DE BOIA, TIPO ROSCÁVEL 1.1/2",AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1222222;16,32;1,99;
Serviço: ED-50307;TORNEIRA DE BOIA, TIPO ROSCÁVEL 1.1/2",BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2444444;21,60;5,27;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50306;TORNEIRA DE BOIA, TIPO ROSCÁVEL 1.1/4",AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1222222;16,32;1,99;
Serviço: ED-50306;TORNEIRA DE BOIA, TIPO ROSCÁVEL 1.1/4",BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2444444;21,60;5,27;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50303;TORNEIRA DE BOIA, TIPO ROSCÁVEL 1/2",AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1047619;16,32;1,70;
Serviço: ED-50303;TORNEIRA DE BOIA, TIPO ROSCÁVEL 1/2",BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2095238;21,60;4,52;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50308;TORNEIRA DE BOIA, TIPO ROSCÁVEL 2",AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1466666;16,32;2,39;
Serviço: ED-50308;TORNEIRA DE BOIA, TIPO ROSCÁVEL 2",BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2933333;21,60;6,33;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50304;TORNEIRA DE BOIA, TIPO ROSCÁVEL 3/4",AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1047619;16,32;1,70;
Serviço: ED-50304;TORNEIRA DE BOIA, TIPO ROSCÁVEL 3/4",BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2095238;21,60;4,52;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50328;TORNEIRA METÁLICA PARA BEBEDOURO,AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;1,4000000;16,32;22,84;
Serviço: ED-50328;TORNEIRA METÁLICA PARA BEBEDOURO,BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;1,4000000;21,60;30,24;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50323;TORNEIRA METÁLICA PARA IRRIGAÇÃO/AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1466666;16,32;2,39;
Serviço: ED-50323;TORNEIRA METÁLICA PARA IRRIGAÇÃO/BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2933333;21,60;6,33;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50330;TORNEIRA METÁLICA PARA LAVATÓRIO,AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1833333;16,32;2,99;
Serviço: ED-50330;TORNEIRA METÁLICA PARA LAVATÓRIO,BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,3666667;21,60;7,92;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50329;TORNEIRA METÁLICA PARA LAVATÓRIO,AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,2037037;16,32;3,32;
Serviço: ED-50329;TORNEIRA METÁLICA PARA LAVATÓRIO,BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,4074074;21,60;8,79;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50326;TORNEIRA METÁLICA PARA PIA,AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1466666;16,32;2,39;
Serviço: ED-50326;TORNEIRA METÁLICA PARA PIA,BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2933333;21,60;6,33;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50327;TORNEIRA METÁLICA PARA PIA,AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1466666;16,32;2,39;
Serviço: ED-50327;TORNEIRA METÁLICA PARA PIA,BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2933333;21,60;6,33;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50324;TORNEIRA METÁLICA PARA PIA, BICA MÓVEL,AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1833333;16,32;2,99;
Serviço: ED-50324;TORNEIRA METÁLICA PARA PIA, BICA MÓVEL,BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,3666667;21,60;7,92;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50325;TORNEIRA METÁLICA PARA PIA, BICA MÓVEL,AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1466666;16,32;2,39;
Serviço: ED-50325;TORNEIRA METÁLICA PARA PIA, BICA MÓVEL,BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2933333;21,60;6,33;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50331;TORNEIRA METÁLICA PARA TANQUE,AJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1466666;16,32;2,39;
Serviço: ED-50331;TORNEIRA METÁLICA PARA TANQUE,BOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2933333;21,60;6,33;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51133;TRANSPORTE DE MATERIAL DE QUALQUERSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;2,0000000;15,71;31,42;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51134;TRANSPORTE DE MATERIAL DE QUALQUERSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;3,0000000;15,71;47,13;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51127;TRANSPORTE DE MATERIAL DE QUALQUERSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,0167000;15,71;0,26;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48325;TRANSPORTE, LANÇAMENTO EPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;1,6500000;22,09;36,44;
Serviço: ED-48325;TRANSPORTE, LANÇAMENTO ESERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;4,5000000;15,71;70,69;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48324;TRANSPORTE, LANÇAMENTO EPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;1,6500000;22,09;36,44;
Serviço: ED-48324;TRANSPORTE, LANÇAMENTO ESERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;3,0000000;15,71;47,13;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50235;TRATAMENTO DE JUNTA DE DILATAÇÃO COMPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,0080000;22,09;0,17;
Serviço: ED-50235;TRATAMENTO DE JUNTA DE DILATAÇÃO COMSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,0080000;15,71;0,12;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50523;TRATAMENTO EM SUPERFÍCIE DE CONCRETOESTUCADOR COM ENCARGOS COMPLEMENTARES ;ED-50387 ;hora  ;0,5000000;22,09;11,04;
Serviço: ED-50523;TRATAMENTO EM SUPERFÍCIE DE CONCRETORASPADOR COM ENCARGOS COMPLEMENTARES ;ED-50384 ;hora  ;0,8000000;25,95;20,76;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50524;TRATAMENTO EM SUPERFÍCIE DE CONCRETOESTUCADOR COM ENCARGOS COMPLEMENTARES ;ED-50387 ;hora  ;0,5000000;22,09;11,04;
Serviço: ED-50524;TRATAMENTO EM SUPERFÍCIE DE CONCRETORASPADOR COM ENCARGOS COMPLEMENTARES ;ED-50384 ;hora  ;0,8000000;25,95;20,76;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50425;TRAVESSIA DE CHAPA METÁLICA PARASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;2,0000000;15,71;31,42;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50424;TRAVESSIA DE MADEIRA PARA VEÍCULOSCARPINTEIRO DE FORMA COM ENCARGOS COMPLEMENTARES ;ED-50372 ;hora  ;0,5000000;21,87;10,93;
Serviço: ED-50424;TRAVESSIA DE MADEIRA PARA VEÍCULOSSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;1,5000000;15,71;23,56;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49832;TUBO AÇO PRETO SCH-40, D = 1/2" SEMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,4500000;16,32;7,34;
Serviço: ED-49832;TUBO AÇO PRETO SCH-40, D = 1/2" SEMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,4500000;21,60;9,72;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49833;TUBO AÇO PRETO SCH-40, D = 3/4" SEMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,4800000;16,32;7,83;
Serviço: ED-49833;TUBO AÇO PRETO SCH-40, D = 3/4" SEMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,4800000;21,60;10,36;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49831;TUBO AÇO PRETO SCH-40, D = 3/8" SEMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,3300000;16,32;5,38;
Serviço: ED-49831;TUBO AÇO PRETO SCH-40, D = 3/8" SEMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,3300000;21,60;7,12;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48687;TUBO DE CONCRETO para dreno simples ouPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2000000;22,09;4,41;
Serviço: ED-48687;TUBO DE CONCRETO para dreno simples ouSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,8000000;15,71;12,56;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50332;TUBO DE LIGAÇÃO DE ÁGUA PARA BACIAAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1466666;16,32;2,39;
Serviço: ED-50332;TUBO DE LIGAÇÃO DE ÁGUA PARA BACIABOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,2933333;21,60;6,33;
